company_name,b_hni_min_amount,retail_max_amount,retail_min_amount,s_hni_ max_amount,s_hni_min_amount,b_hni_min_lots,retail_max_lots,retail_min_lots,s_hni_max_lots,s_hni_min_lots,b_hni_min_shares,retail_max_shares,retail_min_shares,s_hni_max_shares,s_hni_Min_shares
Amanta Healthcare Ltd. IPO,"₹10,04,598","₹1,94,922","₹14,994","₹9,89,604","₹2,09,916",67,13,1,66,14,7973,1547,119,7854,1666
Anlon Healthcare Ltd. IPO,"₹10,14,832","₹1,94,012","₹14,924","₹9,99,908","₹2,08,936",68,13,1,67,14,11152,2132,164,10988,2296
Vikran Engineering Ltd. IPO,"₹10,04,920","₹1,86,628","₹14,356","₹9,90,564","₹2,00,984",70,13,1,69,14,10360,1924,148,10212,2072
Mangal Electrical Industries Ltd. IPO,"₹10,06,434","₹1,89,618","₹14,586","₹9,91,848","₹2,04,204",69,13,1,68,14,1794,338,26,1768,364
Patel Retail Ltd. IPO,"₹10,05,720","₹1,92,270","₹14,790","₹9,90,930","₹2,07,060",68,13,1,67,14,3944,754,58,3886,812
Gem Aromatics Ltd. IPO,"₹10,01,650","₹1,94,350","₹14,950","₹9,86,700","₹2,09,300",67,13,1,66,14,3082,598,46,3036,644
Vikram Solar Ltd. IPO,"₹10,00,980","₹1,94,220","₹14,940","₹9,86,040","₹2,09,160",67,13,1,66,14,3015,585,45,2970,630
Shreeji Shipping Global Ltd. IPO,"₹10,08,504","₹1,90,008","₹14,616","₹9,93,888","₹2,04,624",69,13,1,68,14,4002,754,58,3944,812
Regaal Resources Ltd. IPO,"₹10,13,472","₹1,90,944","₹14,688","₹9,98,784","₹2,05,632",69,13,1,68,14,9936,1872,144,9792,2016
BlueStone Jewellery & Lifestyle Ltd. IPO,"₹10,04,531","₹1,94,909","₹14,993","₹9,89,538","₹2,09,902",67,13,1,66,14,1943,377,29,1914,406
All Time Plastics Ltd. IPO,"₹10,09,800","₹1,93,050","₹14,850","₹9,94,950","₹2,07,900",68,13,1,67,14,3672,702,54,3618,756
JSW Cement Ltd. IPO,"₹10,04,598","₹1,94,922","₹14,994","₹9,89,604","₹2,09,916",67,13,1,66,14,6834,1326,102,6732,1428
Highway Infrastructure Ltd. IPO,"₹10,04,360","₹1,92,010","₹14,770","₹9,89,590","₹2,06,780",68,13,1,67,14,14348,2743,211,14137,2954
Sri Lotus Developers & Realty Ltd. IPO,"₹10,05,000","₹1,95,000","₹15,000","₹9,90,000","₹2,10,000",67,13,1,66,14,6700,1300,100,6600,1400
M&B Engineering Ltd. IPO,"₹10,09,470","₹1,90,190","₹14,630","₹9,94,840","₹2,04,820",69,13,1,68,14,2622,494,38,2584,532
National Securities Depository Ltd. IPO,"₹10,08,000","₹1,87,200","₹14,400","₹9,93,600","₹2,01,600",70,13,1,69,14,1260,234,18,1242,252
Laxmi India Finance Ltd. IPO,"₹10,09,936","₹1,93,076","₹14,852","₹9,95,084","₹2,07,928",68,13,1,67,14,6392,1222,94,6298,1316
Aditya Infotech Ltd. IPO,"₹10,09,800","₹1,93,050","₹14,850","₹9,94,950","₹2,07,900",68,13,1,67,14,1496,286,22,1474,308
Shanti Gold International Ltd. IPO,"₹10,14,900","₹1,94,025","₹14,925","₹9,99,975","₹2,08,950",68,13,1,67,14,5100,975,75,5025,1050
Brigade Hotel Ventures Ltd. IPO,"₹10,00,980","₹1,94,220","₹14,940","₹9,86,040","₹2,09,160",67,13,1,66,14,11122,2158,166,10956,2324
Indiqube Spaces Ltd. IPO,"₹10,00,377","₹1,94,103","₹14,931","₹9,85,446","₹2,09,034",67,13,1,66,14,4221,819,63,4158,882
GNG Electronics Ltd. IPO,"₹10,00,377","₹1,94,103","₹14,931","₹9,85,446","₹2,09,034",67,13,1,66,14,4221,819,63,4158,882
Anthem Biosciences Ltd. IPO,"₹10,07,760","₹1,92,660","₹14,820","₹9,92,940","₹2,07,480",68,13,1,67,14,1768,338,26,1742,364
Smartworks Coworking Spaces Ltd. IPO,"₹10,10,988","₹1,90,476","₹14,652","₹9,96,336","₹2,05,128",69,13,1,68,14,2484,468,36,2448,504
Travel Food Services Ltd. IPO,"₹10,01,000","₹1,85,900","₹14,300","₹9,86,700","₹2,00,200",70,13,1,69,14,910,169,13,897,182
Crizac Ltd. IPO,"₹10,01,315","₹1,94,285","₹14,945","₹9,86,370","₹2,09,230",67,13,1,66,14,4087,793,61,4026,854
Indogulf Cropsciences Ltd. IPO,"₹10,03,995","₹1,94,805","₹14,985","₹9,89,010","₹2,09,790",67,13,1,66,14,9045,1755,135,8910,1890
Sambhv Steel Tubes Ltd. IPO,"₹10,14,832","₹1,94,012","₹14,924","₹9,99,908","₹2,08,936",68,13,1,67,14,12376,2366,182,12194,2548
HDB Financial Services Ltd. IPO,"₹10,06,400","₹1,92,400","₹14,800","₹9,91,600","₹2,07,200",68,13,1,67,14,1360,260,20,1340,280
Ellenbarrie Industrial Gases Ltd. IPO,"₹10,06,400","₹1,92,400","₹14,800","₹9,91,600","₹2,07,200",68,13,1,67,14,2516,481,37,2479,518
Kalpataru Ltd. IPO,"₹10,13,472","₹1,93,752","₹14,904","₹9,98,568","₹2,08,656",68,13,1,67,14,2448,468,36,2412,504
Globe Civil Projects Ltd. IPO,"₹10,03,727","₹1,94,753","₹14,981","₹9,88,746","₹2,09,734",67,13,1,66,14,14137,2743,211,13926,2954
Arisinfra Solutions Ltd. IPO,"₹10,11,432","₹1,93,362","₹14,874","₹9,96,558","₹2,08,236",68,13,1,67,14,4556,871,67,4489,938
Oswal Pumps Ltd. IPO,"₹10,02,048","₹1,91,568","₹14,736","₹9,87,312","₹2,06,304",68,13,1,67,14,1632,312,24,1608,336
Scoda Tubes Ltd. IPO,"₹10,08,000","₹1,96,000","₹14,000","₹9,94,000","₹2,10,000",72,14,1,71,15,7200,1400,100,7100,1500
Prostarm Info Systems Ltd. IPO,"₹10,13,880","₹1,93,830","₹14,910","₹9,98,970","₹2,08,740",68,13,1,67,14,9656,1846,142,9514,1988
Aegis Vopak Terminals Ltd. IPO,"₹10,06,740","₹1,92,465","₹14,805","₹9,91,935","₹2,07,270",68,13,1,67,14,4284,819,63,4221,882
Schloss Bangalore Ltd. IPO,"₹10,05,720","₹1,92,270","₹14,790","₹9,90,930","₹2,07,060",68,13,1,67,14,2312,442,34,2278,476
Belrise Industries Ltd. IPO,"₹10,00,980","₹1,94,220","₹14,940","₹9,86,040","₹2,09,160",67,13,1,66,14,11122,2158,166,10956,2324
Borana Weaves Ltd. IPO,"₹10,13,472","₹1,93,752","₹14,904","₹9,98,568","₹2,08,656",68,13,1,67,14,4692,897,69,4623,966
Ather Energy Ltd. IPO,"₹10,04,088","₹1,91,958","₹14,766","₹9,89,322","₹2,06,724",68,13,1,67,14,3128,598,46,3082,644
Quality Power Electrical Equipments Ltd. IPO,"₹10,05,550","₹1,98,900","₹11,050","₹9,94,500","₹2,09,950",91,18,1,90,19,2366,468,26,2340,494
Hexaware Technologies Ltd. IPO,"₹10,11,024","₹1,93,284","₹14,868","₹9,96,156","₹2,08,152",68,13,1,67,14,1428,273,21,1407,294
Ajax Engineering Ltd. IPO,"₹10,12,690","₹1,88,071","₹14,467","₹9,98,223","₹2,02,538",70,13,1,69,14,1610,299,23,1587,322
Dr.Agarwal's Health Care Ltd. IPO,"₹10,13,040","₹1,96,980","₹14,070","₹9,98,970","₹2,11,050",72,14,1,71,15,2520,490,35,2485,525
Denta Water & Infra Solutions Ltd. IPO,"₹10,14,300","₹1,91,100","₹14,700","₹9,99,600","₹2,05,800",69,13,1,68,14,3450,650,50,3400,700
Stallion India Fluorochemicals Ltd. IPO,"₹10,09,800","₹1,93,050","₹14,850","₹9,94,950","₹2,07,900",68,13,1,67,14,11220,2145,165,11055,2310
Laxmi Dental Ltd. IPO,"₹10,02,804","₹1,97,736","₹14,124","₹9,88,680","₹2,11,860",71,14,1,70,15,2343,462,33,2310,495
Quadrant Future Tek Ltd. IPO,"₹10,00,500","₹1,88,500","₹14,500","₹9,86,000","₹2,03,000",69,13,1,68,14,3450,650,50,3400,700
Standard Glass Lining Technology Ltd. IPO,"₹10,03,660","₹1,94,740","₹14,980","₹9,88,680","₹2,09,720",67,13,1,66,14,7169,1391,107,7062,1498
