,company_name,period_end,Assets,EBITDA,Net Worth,Period Ended,Profit After Tax,Reserves and Surplus,Total Borrowing,Total Income
0,Aditya Infotech Ltd. IPO,2023,1708.76,181.05,311.59,31 Mar 2023,108.31,308.65,409.60,2295.56
1,Aditya Infotech Ltd. IPO,2024,1644.18,236.48,424.20,31 Mar 2024,115.17,421.33,405.45,2795.96
2,Aditya Infotech Ltd. IPO,2025,3174.54,258.39,1017.66,31 Mar 2025,351.37,994.49,412.84,3122.93
3,Aegis Vopak Terminals Ltd. IPO,2023,3481.48,,1098.20,31 Mar 2023,-0.08,0.00,1745.17,355.99
4,Aegis Vopak Terminals Ltd. IPO,2024,4523.40,,1151.94,31 Mar 2024,86.54,0.00,2586.42,570.12
5,Aegis Vopak Terminals Ltd. IPO,2025,5855.60,,2037.61,31 Dec 2024,85.89,0.00,2485.75,476.15
6,Ajax Engineering Ltd. IPO,2023,966.73,,713.8,31 Mar 2023,135.9,702.36,10.14,1172.57
7,Ajax Engineering Ltd. IPO,2024,1236.14,,917.96,31 Mar 2024,225.15,906.52,6.23,1780.07
8,Ajax Engineering Ltd. IPO,2025,1348.76,,995.84,30 Sep 2024,101.02,984.4,,794.16
9,All Time Plastics Ltd. IPO,2023,400.48,73.38,157.84,31 Mar 2023,28.27,156.60,171.74,443.76
10,All Time Plastics Ltd. IPO,2024,415.46,97.10,202.35,31 Mar 2024,44.79,200.87,142.35,515.88
11,All Time Plastics Ltd. IPO,2025,562.32,101.34,249.13,31 Mar 2025,47.29,247.73,218.51,559.24
12,Amanta Healthcare Ltd. IPO,2023,374.06,56.31,62.88,31 Mar 2023,-2.11,36.05,215.66,262.70
13,Amanta Healthcare Ltd. IPO,2024,352.12,58.76,66.29,31 Mar 2024,3.63,39.46,205.23,281.61
14,Amanta Healthcare Ltd. IPO,2025,381.76,61.05,96.39,31 Mar 2025,10.50,67.56,195.00,276.09
15,Anlon Healthcare Ltd. IPO,2023,111.55,12.66,7.37,31 Mar 2023,5.82,-4.63,66.39,113.12
16,Anlon Healthcare Ltd. IPO,2024,128.00,15.57,21.03,31 Mar 2024,9.66,5.03,74.56,66.69
17,Anlon Healthcare Ltd. IPO,2025,181.30,32.38,80.42,31 Mar 2025,20.52,40.57,58.35,120.46
18,Anthem Biosciences Ltd. IPO,2023,2014.46,446.05,1740.67,31 Mar 2023,385.19,1628.88,125.06,1133.99
19,Anthem Biosciences Ltd. IPO,2024,2398.11,519.96,1924.66,31 Mar 2024,367.31,1815.39,232.53,1483.07
20,Anthem Biosciences Ltd. IPO,2025,2807.58,683.78,2409.86,31 Mar 2025,451.26,2298.05,108.95,1930.29
21,Arisinfra Solutions Ltd. IPO,2023,394.95,-0.11,104.94,31 Mar 2023,-15.39,-41.36,220.35,754.44
22,Arisinfra Solutions Ltd. IPO,2024,492.83,13.02,141.60,31 Mar 2024,-17.30,139.77,273.98,702.36
23,Arisinfra Solutions Ltd. IPO,2025,586.56,39.88,152.09,31 Dec 2024,6.53,141.10,322.82,557.76
24,Ather Energy Ltd. IPO,2023,1976.80,,613.70,31 Mar 2023,-864.50,613.10,485.20,1801.80
25,Ather Energy Ltd. IPO,2024,1913.50,,545.90,31 Mar 2024,-1059.70,545.10,314.90,1789.10
26,Ather Energy Ltd. IPO,2025,2172.00,,108.00,31 Dec 2024,-577.90,104.10,521.60,1617.40
27,Belrise Industries Ltd. IPO,2023,5679.15,,2038.20,31 Mar 2023,356.70,2024.16,2271.40,6620.78
28,Belrise Industries Ltd. IPO,2024,6041.65,,2331.92,31 Mar 2024,352.70,2014.43,2440.98,7555.67
29,Belrise Industries Ltd. IPO,2025,6587.69,,2577.55,31 Dec 2024,245.47,2252.24,2599.80,6064.76
30,BlueStone Jewellery & Lifestyle Ltd. IPO,2023,1255.49,-56.03,,31 Mar 2023,-167.24,-81.06,228.42,787.89
31,BlueStone Jewellery & Lifestyle Ltd. IPO,2024,2453.49,53.05,,31 Mar 2024,-142.24,346.28,430.43,1303.49
32,BlueStone Jewellery & Lifestyle Ltd. IPO,2025,3532.28,73.16,,31 Mar 2025,-221.84,877.12,728.62,1830.04
33,Borana Weaves Ltd. IPO,2023,74.98,26.06,24.11,31 Mar 2023,16.30,24.07,38.89,135.53
34,Borana Weaves Ltd. IPO,2024,137.05,41.17,47.39,31 Mar 2024,23.59,47.66,69.10,199.60
35,Borana Weaves Ltd. IPO,2025,149.67,46.03,76.55,31 Dec 2024,29.31,56.87,54.03,215.71
36,Brigade Hotel Ventures Ltd. IPO,2023,840.67,113.98,33.81,31 Mar 2023,-3.09,,632.50,356.41
37,Brigade Hotel Ventures Ltd. IPO,2024,886.78,144.61,58.74,31 Mar 2024,31.14,,601.19,404.85
38,Brigade Hotel Ventures Ltd. IPO,2025,947.57,166.87,78.58,31 Mar 2025,23.66,,617.32,470.68
39,Crizac Ltd. IPO,2023,304.99,107.29,221.37,31 Mar 2023,112.14,,0.08,517.85
40,Crizac Ltd. IPO,2024,592.91,72.64,341.81,31 Mar 2024,118.90,,0.08,763.44
41,Crizac Ltd. IPO,2025,879.62,212.82,505.71,31 Mar 2025,152.93,,0.08,884.78
42,Denta Water & Infra Solutions Ltd. IPO,2023,123.28,,104.55,31 Mar 2023,50.11,99.74,1.15,175.75
43,Denta Water & Infra Solutions Ltd. IPO,2024,219.85,,164.26,31 Mar 2024,59.73,145.06,0.86,241.84
44,Denta Water & Infra Solutions Ltd. IPO,2025,220.35,,188.46,30 Sep 2024,24.2,169.26,0.71,98.51
45,Dr.Agarwal's Health Care Ltd. IPO,2023,1825.17,,627.83,31 Mar 2023,103.23,652.63,356.18,1031.49
46,Dr.Agarwal's Health Care Ltd. IPO,2024,2752.82,,1337.68,31 Mar 2024,95.05,1365.86,387.79,1376.45
47,Dr.Agarwal's Health Care Ltd. IPO,2025,3393.41,,1502.67,30 Sep 2024,39.56,1509.11,373.68,837.94
48,Ellenbarrie Industrial Gases Ltd. IPO,2023,551.27,33.59,203.32,31 Mar 2023,28.14,356.51,101.10,223.71
49,Ellenbarrie Industrial Gases Ltd. IPO,2024,672.54,61.53,250.15,31 Mar 2024,45.29,403.35,176.90,290.20
50,Ellenbarrie Industrial Gases Ltd. IPO,2025,845.97,109.74,333.62,31 Mar 2025,83.29,467.17,245.30,348.43
51,GNG Electronics Ltd. IPO,2023,285.50,50.04,111.60,31 Mar 2023,32.43,81.13,152.02,662.79
52,GNG Electronics Ltd. IPO,2024,585.82,84.90,163.14,31 Mar 2024,52.31,132.68,322.33,1143.80
53,GNG Electronics Ltd. IPO,2025,719.46,126.14,226.46,31 Mar 2025,69.03,176.61,446.92,1420.37
54,Gem Aromatics Ltd. IPO,2023,295.76,66.19,179.53,31 Mar 2023,44.67,182.36,89.36,425.09
55,Gem Aromatics Ltd. IPO,2024,368.57,78.35,230.55,31 Mar 2024,50.10,224.88,111.13,454.23
56,Gem Aromatics Ltd. IPO,2025,534.52,88.45,283.98,31 Mar 2025,53.38,278.26,222.37,505.64
57,Globe Civil Projects Ltd. IPO,2023,275.04,20.80,62.44,31 Mar 2023,4.85,59.97,97.00,235.17
58,Globe Civil Projects Ltd. IPO,2024,317.83,44.65,77.67,31 Mar 2024,15.38,75.19,124.48,334.81
